Tenure in Months,Monthly Charge,Age,Customer Status
9,65.6,37,0
9,-4.0,46,0
4,73.9,50,1
13,98.0,78,1
3,83.9,75,1
63,84.65,52,0
7,48.2,68,0
56,45.05,39,0
71,95.75,58,0
45,62.7,79,1
1,25.1,67,1
13,94.1,26,1
4,20.35,34,1
1,30.5,37,1
55,103.7,37,0
54,20.4,42,0
26,19.6,64,0
37,91.2,23,0
66,-2.0,28,0
20,39.4,33,0
55,89.8,37,0
27,75.75,60,0
2,49.25,69,1
25,61.6,46,0
72,85.15,19,0
64,81.25,25,0
40,91.55,72,0
40,104.5,51,1
11,95.0,78,1
30,64.5,58,0
27,19.4,26,0
1,19.85,32,1
1,99.75,59,1
49,84.35,61,1
10,19.95,21,0
21,111.2,24,1
37,40.2,52,1
7,73.85,29,1
15,101.35,42,1
26,45.8,51,0
44,20.5,64,0
2,86.25,40,1
44,74.85,76,0
12,89.75,57,1
69,109.95,71,0
1,80.2,25,1
3,19.85,24,1
26,20.3,57,0
25,94.7,41,1
1,70.9,43,1
22,54.2,48,1
19,86.85,34,0
47,87.2,54,0
62,108.15,42,0
71,116.3,22,0
25,35.05,32,0
58,105.5,73,1
10,85.25,26,1
9,75.2,59,0
6,84.35,78,1
69,84.45,47,0
70,115.55,30,1
25,25.3,62,1
54,114.65,63,0
15,105.1,54,1
12,19.4,48,0
30,84.3,52,0
71,100.55,22,0
4,84.8,26,1
2,85.85,58,1
52,48.8,69,0
5,47.15,25,1
8,20.15,30,0
72,69.65,53,0
63,36.1,76,0
66,56.6,38,0
1,75.9,23,1
1,85.55,45,1
15,93.35,49,1
72,89.7,25,0
72,92.65,35,0
67,92.45,69,0
28,81.05,58,1
27,75.2,80,1
2,85.65,22,1
9,72.9,50,1
32,74.9,76,1
16,100.7,57,0
72,114.3,43,0
3,19.75,41,1
7,-3.0,21,0
8,54.4,49,0
66,50.55,33,0
5,21.05,30,1
49,103.7,38,1
12,29.3,70,0
27,54.75,54,0
54,86.2,40,0
1,95.45,56,1
5,63.95,38,0
72,63.8,61,0
32,20.05,50,0
8,101.15,47,1
41,65.0,35,0
5,96.1,61,1
16,19.05,62,0
71,105.75,80,0
11,40.4,23,0
61,99.15,63,1
71,84.8,50,0
6,49.45,63,0
26,88.8,58,1
6,55.15,29,0
11,84.8,54,0
1,80.55,25,1
49,20.15,31,0
23,99.85,28,1
2,45.35,63,1
1,48.55,37,1
68,100.2,74,1
8,94.7,44,1
39,100.0,62,0
1,70.1,43,1
3,97.9,40,1
5,69.95,55,1
3,81.35,77,1
55,66.05,41,0
72,61.2,43,0
72,74.4,69,0
41,106.3,63,1
6,89.3,43,1
58,102.1,33,1
23,19.6,60,0
31,98.9,70,1
25,20.05,41,0
40,19.65,48,0
36,84.9,46,1
32,108.15,22,1
71,86.85,28,0
37,91.2,52,0
9,39.55,34,0
1,34.7,31,1
23,90.6,21,1
17,88.25,31,1
3,85.8,20,1
58,60.3,31,1
69,85.35,42,0
2,74.4,28,1
1,70.45,76,1
59,93.85,70,1
37,101.9,22,1
72,24.45,36,0
3,74.4,21,1
54,101.5,75,1
60,95.75,59,1
58,110.65,35,0
1,44.4,58,1
49,85.3,44,0
8,25.5,40,1
39,99.75,72,0
15,20.55,23,0
1,20.9,54,1
22,87.0,56,0
15,49.0,40,0
28,90.1,37,1
62,60.15,47,0
44,50.15,64,0
53,94.45,59,0
48,20.05,44,0
48,45.3,28,1
24,99.65,39,0
13,35.4,58,0
63,83.5,19,0
23,83.8,45,1
52,25.6,26,0
72,20.1,39,0
62,104.85,70,0
41,73.0,34,1
43,77.85,47,1
19,96.8,58,0
55,96.75,37,1
11,19.65,48,0
49,74.45,58,0
1,69.5,41,1
21,73.7,28,0
1,79.7,39,1
5,-1.0,78,1
24,74.4,61,0
27,88.3,72,1
5,75.55,78,1
57,20.1,32,0
1,71.1,41,1
60,100.5,74,0
37,62.8,57,0
1,70.45,42,1
28,100.35,39,0
18,20.15,39,1
5,54.2,21,1
1,70.75,56,1
35,102.35,26,1
30,85.0,25,1
72,42.1,36,0
15,75.65,70,1
70,114.6,36,0
66,65.7,37,0
55,85.45,66,1
24,79.85,66,0
12,21.05,19,0
51,79.6,69,0
58,70.1,26,0
72,74.55,61,0
70,44.6,62,0
9,95.5,45,1
20,95.5,28,0
69,78.6,51,1
7,61.4,38,0
69,43.95,19,0
5,25.9,34,1
46,99.65,32,0
27,95.55,70,1
22,83.3,23,1
4,72.75,76,0
38,20.3,43,0
40,80.0,41,0
8,49.85,48,1
64,91.8,21,0
62,100.15,32,1
14,46.35,53,1
12,69.85,41,0
59,25.45,40,0
59,75.95,40,0
53,19.75,62,1
20,89.0,35,1
1,25.25,77,1
1,25.05,74,1
64,47.85,61,1
49,75.2,62,1
28,74.9,60,1
13,81.9,47,0
4,18.85,41,0
10,45.55,28,1
65,93.55,50,0
21,-10.0,77,1
29,20.2,40,0
72,24.15,55,0
22,67.5,49,1
23,90.05,64,1
40,70.75,33,0
2,76.5,30,1
13,84.05,40,1
16,95.6,39,1
67,102.95,28,1
47,80.35,73,1
21,104.4,45,1
62,70.75,58,0
7,98.05,32,1
48,60.6,35,0
53,78.75,43,0
6,19.0,38,0
1,25.8,76,1
48,69.55,45,0
71,97.65,47,0
53,105.55,33,0
1,69.25,73,1
50,75.5,29,0
15,101.1,62,1
1,95.0,42,1
2,70.75,74,1
65,72.45,24,1
52,85.8,61,0
13,83.2,42,1
46,110.0,65,1
53,94.85,24,1
40,105.95,41,0
4,85.65,19,1
9,68.25,45,0
4,101.7,28,1
70,75.5,79,0
13,65.85,56,0
9,74.55,70,1
12,61.65,52,1
4,74.9,68,1
1,74.45,73,1
45,34.2,67,0
55,100.0,66,1
69,97.65,41,0
9,79.9,35,1
24,55.65,43,1
72,53.8,61,0
72,99.15,52,0
4,50.05,50,1
1,82.3,64,1
51,69.75,50,0
51,56.15,42,0
72,86.65,39,0
2,25.05,22,1
70,109.5,38,1
4,19.9,25,0
2,95.85,63,1
46,33.7,35,0
54,63.35,29,0
1,19.3,58,1
66,74.6,56,0
16,112.95,49,0
3,88.35,33,1
71,59.7,44,0
9,34.7,43,1
9,100.5,65,1
16,39.0,68,1
16,20.6,36,0
58,19.55,54,0
4,80.15,27,0
72,20.3,29,0
71,90.4,25,0
3,55.1,43,1
24,78.4,54,0
13,30.15,50,0
1,70.85,65,1
55,77.8,48,0
27,81.45,80,1
17,66.7,48,0
2,34.7,19,1
52,49.15,76,1
24,21.05,55,0
9,40.65,64,1
1,35.55,38,1
53,85.45,38,1
34,64.4,53,1
20,82.4,26,1
5,53.85,34,1
13,102.25,36,1
59,69.1,30,0
9,79.55,40,1
10,84.6,70,1
5,85.4,62,1
54,103.95,20,1
56,86.4,32,0
4,101.15,21,1
2,19.5,23,1
27,101.25,72,1
1,45.7,57,1
53,93.45,29,0
54,104.3,47,1
8,44.55,46,0
11,99.5,43,1
34,100.85,21,0
56,105.35,31,0
69,20.2,29,0
72,115.15,29,0
55,85.5,29,0
72,104.15,66,1
22,83.05,35,0
3,83.75,55,1
60,89.45,70,0
3,75.25,40,1
7,74.65,23,1
4,29.9,78,0
63,89.6,74,0
36,76.35,33,0
47,20.25,50,0
13,53.45,40,0
35,100.25,44,1
10,80.7,54,1
30,80.8,24,0
44,92.95,46,0
47,85.3,22,0
58,98.7,67,1
7,80.3,21,1
20,73.65,71,1
13,98.15,46,1
12,35.5,19,0
7,69.9,25,0
49,109.2,35,0
62,20.3,57,0
32,96.2,45,1
11,20.0,37,0
1,70.8,23,1
1,89.55,38,1
62,39.0,61,0
69,99.45,30,1
26,50.35,32,0
40,50.85,27,0
72,80.85,40,0
18,49.4,31,1
1,20.1,25,1
56,94.8,71,0
7,20.0,27,1
5,96.5,54,1
8,69.7,66,0
62,106.05,47,0
56,90.55,63,0
41,24.85,38,0
1,-4.0,29,1
11,-7.0,39,1
1,19.55,27,1
1,70.85,51,1
63,103.5,77,0
60,-9.0,59,0
19,20.6,43,0
12,19.8,59,1
41,70.25,25,1
71,113.15,25,0
56,25.15,19,1
8,21.05,54,0
20,70.55,56,0
72,108.65,63,0
56,109.6,36,0
1,69.9,49,1
1,20.15,29,1
25,19.9,47,0
1,85.05,68,1
55,25.7,54,0
59,20.35,29,0
16,98.75,69,1
51,85.5,63,0
1,-7.0,35,1
1,69.1,46,1
3,19.6,38,1
56,99.8,27,0
17,76.65,62,1
18,25.1,33,0
11,19.55,45,0
47,95.05,78,1
66,74.25,34,0
42,54.55,42,0
17,49.8,27,0
15,51.1,60,0
28,105.8,67,0
63,108.25,46,0
15,89.85,67,1
14,105.95,59,1
54,55.0,43,1
16,53.9,36,1
1,70.65,64,1
24,24.6,58,0
50,84.15,53,0
2,29.85,64,1
2,85.7,39,1
67,108.75,59,1
33,39.1,62,0
1,74.95,59,1
16,20.4,59,0
72,19.55,58,0
49,106.65,45,0
69,85.4,33,0
11,89.2,60,0
10,79.95,38,1
63,89.4,39,0
38,83.9,26,1
13,91.1,54,1
7,73.6,63,1
7,59.5,54,1
56,80.3,56,0
52,23.05,42,0
23,48.35,60,1
20,49.6,63,0
6,49.65,49,1
50,20.55,32,0
60,89.9,27,0
45,108.45,30,0
43,100.55,77,0
12,19.0,48,1
6,26.35,21,0
8,19.8,20,0
2,49.6,26,1
50,105.95,37,1
21,75.3,25,0
14,90.45,74,1
18,19.55,49,0
67,26.1,45,0
1,20.1,63,1
14,20.4,46,0
43,50.2,41,0
2,54.4,22,1
31,99.95,74,1
4,54.3,64,1
9,75.75,46,1
55,96.8,40,1
49,56.3,51,0
71,80.45,30,0
68,96.55,68,1
16,85.35,66,1
30,19.7,24,0
12,43.65,77,1
4,88.85,69,1
1,79.9,62,1
72,110.6,55,0
20,89.95,70,0
9,70.05,24,0
2,78.55,69,1
42,-5.0,66,0
21,106.1,27,1
72,108.4,56,0
3,75.5,30,1
52,110.75,75,0
46,30.3,57,1
53,98.4,45,1
15,55.0,73,1
18,20.1,59,0
7,25.05,42,0
54,24.75,40,0
1,24.25,64,1
72,101.35,49,0
9,24.95,61,0
4,20.05,33,0
10,86.05,33,1
63,103.4,61,1
14,19.35,24,0
61,94.15,63,0
13,80.0,59,0
1,20.05,57,1
72,115.6,26,0
4,19.55,53,0
6,78.65,44,0
67,109.7,50,0
1,70.3,80,1
46,94.15,55,0
40,55.8,71,0
11,66.35,62,1
4,94.3,65,1
30,48.8,37,0
15,91.0,31,0
7,20.05,62,1
3,91.05,65,1
11,72.9,27,0
21,74.05,32,1
3,105.9,71,1
70,20.05,47,0
54,110.45,77,0
1,89.3,68,1
32,79.25,64,0
11,74.55,20,1
52,109.3,54,0
12,19.7,57,0
33,82.1,44,0
29,30.6,53,1
10,67.8,62,0
13,29.15,33,0
66,103.15,40,0
70,115.65,51,1
1,69.15,54,1
57,95.25,39,1
1,80.0,48,1
3,19.8,33,1
10,98.5,33,1
56,73.85,22,1
39,51.05,59,0
1,89.1,44,1
52,91.6,61,0
10,98.5,35,1
10,102.1,31,1
7,74.9,55,0
35,81.6,76,0
28,94.5,52,1
52,93.25,49,0
1,20.2,28,1
1,25.7,68,1
59,86.75,21,0
2,45.85,34,1
58,106.45,57,1
45,73.85,21,0
12,89.4,36,1
33,44.55,23,0
9,74.65,31,1
7,89.75,25,1
52,96.25,63,1
61,49.7,34,0
17,62.1,58,0
1,62.05,58,1
48,99.7,53,0
71,99.0,50,0
4,58.5,28,0
31,104.35,23,0
32,84.15,53,1
30,106.4,22,0
70,114.2,21,1
43,115.05,25,0
4,63.75,53,0
13,82.0,79,1
4,84.05,21,1
8,94.0,59,1
5,78.75,55,1
12,99.95,20,1
57,97.55,26,0
4,55.2,64,0
70,105.35,70,0
30,19.65,42,1
7,90.45,31,1
19,87.3,66,0
1,60.1,26,1
12,112.95,60,1
17,51.5,36,1
66,99.5,79,1
3,45.35,26,1
51,80.0,38,1
35,75.35,53,1
2,76.4,39,1
26,95.0,74,1
4,75.35,42,1
1,45.15,29,1
8,20.7,59,0
2,75.9,30,1
42,33.55,55,1
5,89.8,75,1
10,84.7,40,1
68,83.0,42,1
20,94.55,75,1
29,19.4,30,0
14,50.1,19,0
19,20.5,29,0
71,25.45,80,0
4,50.95,72,0
6,20.2,38,0
68,91.7,45,0
33,93.8,48,1
53,19.9,35,0
18,95.45,71,1
6,74.1,65,0
1,49.65,60,1
37,100.05,64,0
14,89.65,57,1
72,75.1,32,0
3,79.4,28,1
23,20.45,56,0
34,78.3,36,1
39,25.25,27,0
61,19.1,21,0
12,59.8,44,1
52,61.35,39,0
17,69.0,53,0
9,80.85,79,1
63,24.2,64,0
47,19.75,33,0
45,54.65,21,0
53,20.2,38,0
42,101.75,64,1
5,89.5,67,1
54,109.75,34,1
1,19.45,42,1
10,40.25,52,0
34,50.2,33,0
4,93.5,47,1
54,94.75,30,0
47,70.55,73,1
8,19.35,51,0
1,35.25,53,1
56,115.85,42,0
9,55.35,40,1
22,89.75,65,0
39,19.9,26,0
35,20.05,24,0
1,79.55,59,1
8,45.45,30,0
1,25.2,74,1
29,95.9,70,1
72,114.65,73,0
28,85.45,64,0
17,89.15,80,1
1,48.6,22,1
15,59.65,22,0
12,54.3,59,0
5,46.0,56,1
64,19.8,47,0
27,89.2,31,0
1,69.55,27,1
65,94.55,35,0
61,19.75,44,0
1,74.2,70,1
24,20.25,61,0
42,25.05,20,0
72,109.95,58,0
50,103.7,28,1
22,85.35,71,0
1,70.15,80,1
8,60.0,43,0
8,20.35,61,0
64,24.8,62,0
26,50.35,47,0
1,70.0,38,1
4,20.05,65,0
40,39.3,66,1
41,98.4,77,1
11,74.35,35,1
12,80.85,57,1
2,104.4,26,1
69,89.95,65,1
20,90.8,79,1
22,89.25,38,1
64,90.6,44,0
48,106.1,55,1
22,89.4,39,1
24,64.35,23,0
10,72.85,69,1
8,66.7,47,0
36,80.4,59,0
1,70.5,53,1
13,79.25,48,1
7,86.5,62,1
47,40.3,27,0
21,20.35,31,0
33,100.6,79,0
1,20.15,35,1
68,110.25,43,0
72,98.2,32,0
10,20.1,23,0
59,20.2,47,0
52,79.2,61,0
1,45.3,59,1
1,20.4,31,1
14,78.95,65,1
16,89.05,37,1
35,23.3,38,0
7,34.2,47,0
1,46.0,69,1
1,73.0,72,1
3,75.05,68,1
2,79.75,44,1
23,25.6,27,0
70,109.5,21,1
29,25.15,47,0
43,19.65,44,0
27,75.5,75,1
48,70.65,72,0
1,20.5,24,1
66,99.5,62,1
1,81.95,44,1
8,19.05,26,0
18,33.5,59,1
11,99.55,78,1
1,84.3,27,1
9,103.1,32,0
18,19.0,42,0
1,74.6,23,1
13,99.0,31,1
7,79.3,54,1
18,85.6,45,0
12,106.7,44,1
43,49.05,64,1
24,102.95,73,1
2,90.4,47,1
38,94.65,25,1
33,95.8,24,1
49,100.85,56,0
72,114.45,51,0
33,59.45,80,0
3,70.4,71,1
55,51.65,75,0
72,96.6,70,0
21,86.5,50,1
5,69.75,32,1
37,19.5,57,0
29,71.0,47,0
64,111.15,41,0
7,76.45,77,1
23,79.35,66,0
68,25.25,47,0
2,89.55,49,1
17,92.7,37,0
5,49.4,54,0
68,70.9,48,0
6,69.25,50,1
1,45.6,31,1
29,89.2,25,1
37,20.35,56,0
30,51.2,57,1
31,73.9,70,1
65,25.75,56,0
5,67.95,39,1
55,73.1,50,0
33,95.0,41,0
30,104.1,80,0
3,35.45,29,1
4,50.7,42,1
14,89.8,57,1
25,70.95,52,1
72,115.55,23,0
18,75.4,44,0
7,84.35,66,0
34,105.35,47,0
5,85.3,37,0
1,45.65,63,1
14,19.7,40,0
4,68.65,51,1
67,25.25,55,0
22,61.15,21,1
37,99.2,55,1
15,79.75,42,1
13,75.3,20,1
20,20.05,31,0
46,105.2,23,1
72,92.4,20,0
71,65.15,29,0
22,69.7,22,0
12,96.0,46,1
29,58.55,68,0
7,40.1,36,1
34,55.0,31,0
22,79.2,27,1
15,85.9,37,1
72,111.95,47,0
18,59.1,74,0
47,85.3,40,1
68,53.0,65,0
68,80.65,52,0
1,84.85,25,1
24,79.65,24,0
7,84.8,75,1
1,50.8,58,1
7,51.0,56,1
52,24.55,34,0
45,20.0,42,0
27,45.85,25,0
9,85.5,35,0
8,45.15,59,1
15,19.4,47,1
70,93.9,38,1
8,19.5,19,0
48,19.55,20,0
1,55.2,22,1
6,44.4,75,0
72,-4.0,21,0
4,50.85,36,1
39,95.55,29,1
58,103.25,20,1
38,81.85,44,0
33,80.1,29,0
20,19.4,20,0
20,105.85,57,1
52,85.15,63,0
69,46.25,29,0
2,70.2,75,1
51,24.95,46,0
4,99.6,68,1
72,109.15,21,0
50,94.4,27,0
62,110.8,42,0
14,74.3,75,1
72,110.75,48,0
3,75.1,63,1
71,99.2,70,0
60,99.0,69,0
4,48.75,65,0
49,99.25,23,0
62,70.45,25,0
48,117.45,76,1
28,76.55,31,0
10,33.9,42,1
16,89.45,41,1
72,55.65,28,0
1,19.9,33,1
38,80.3,55,1
32,104.05,44,0
57,70.1,46,1
16,19.7,35,1
9,94.85,54,1
58,20.5,52,0
42,94.4,52,0
7,-2.0,20,0
28,103.3,79,1
24,80.25,52,1
39,104.7,35,1
36,84.75,22,1
30,70.4,47,0
70,113.65,28,0
5,104.1,43,1
2,44.35,45,1
6,84.85,61,1
62,100.15,41,1
38,20.2,65,0
1,53.5,22,1
17,20.1,46,0
50,69.65,25,0
4,49.35,40,1
8,80.45,67,1
13,70.15,77,1
55,20.5,57,0
71,90.1,30,0
37,80.05,48,0
41,111.95,66,1
59,110.15,43,1
10,34.7,67,1
72,108.4,29,0
72,19.85,52,0
24,-1.0,44,1
22,54.45,62,1
5,20.25,31,0
6,98.25,79,1
1,70.3,32,1
18,56.8,19,0
54,72.1,68,0
12,98.1,67,1
40,55.8,72,1
5,92.5,33,1
8,19.65,58,0
72,111.65,72,0
6,91.0,39,1
40,101.85,76,1
23,73.65,20,0
41,83.75,74,1
10,70.0,41,1
31,19.55,45,1
2,35.1,36,1
31,79.3,47,0
4,44.55,44,1
4,20.4,52,0
72,110.8,69,0
11,70.2,51,0
23,86.8,66,0
6,98.15,20,1
1,69.55,76,1
72,25.75,62,0
1,79.5,60,1
2,75.45,77,1
41,78.45,20,0
38,99.25,30,1
60,104.35,80,0
25,55.1,34,0
17,76.45,66,1
71,93.7,55,1
61,94.1,46,1
42,63.7,29,0
72,20.7,19,0
57,53.45,33,0
7,19.5,48,0
72,23.3,26,0
1,24.05,21,1
4,70.2,43,1
37,99.5,26,1
7,69.0,25,1
44,100.1,30,0
37,45.4,23,0
54,30.4,45,0
6,20.1,52,0
50,19.75,63,0
3,24.75,36,1
27,19.7,48,0
71,109.3,36,0
14,44.6,57,0
6,30.5,47,1
4,70.05,46,1
1,77.15,32,1
12,100.15,24,1
4,81.0,25,1
64,19.55,42,0
33,72.75,54,0
1,70.15,34,1
4,50.9,55,1
68,111.75,40,0
62,23.65,49,0
66,100.05,71,1
53,60.05,71,1
1,69.6,68,1
4,48.55,26,1
64,84.3,34,0
27,79.5,35,1
9,85.05,68,1
7,94.25,22,1
33,19.45,25,0
54,108.0,49,0
15,74.45,70,1
4,100.2,57,1
26,84.95,65,1
67,111.3,58,1
10,95.35,71,1
72,104.9,43,0
8,19.75,44,1
1,25.15,46,1
6,91.1,53,1
37,88.8,33,0
56,110.5,73,0
7,19.9,29,0
58,98.9,80,0
53,19.65,62,0
31,89.45,76,0
29,84.45,37,1
30,91.7,69,1
25,89.1,36,1
9,85.35,28,1
12,79.55,47,0
11,73.85,40,1
34,105.35,51,0
10,51.65,38,0
8,20.05,24,0
4,46.0,68,1
17,93.85,36,1
6,48.95,28,0
2,94.0,65,1
1,49.55,73,1
64,105.65,30,1
46,56.9,52,0
1,90.75,26,1
72,84.2,45,0
33,19.8,35,0
2,45.25,28,1
2,80.55,29,1
5,20.35,39,0
10,24.0,35,0
63,99.9,22,1
47,103.7,32,0
65,74.2,41,0
8,-8.0,74,0
10,95.2,54,1
9,77.65,40,1
2,74.7,74,1
8,43.35,67,0
24,29.1,25,0
15,83.05,65,1
10,61.9,56,0
1,78.05,20,1
24,39.1,75,1
53,60.45,61,1
63,80.3,30,0
5,69.35,67,0
66,20.55,57,0
25,19.8,42,0
56,99.75,45,0
25,26.8,56,0
32,101.35,33,0
16,50.15,21,1
23,88.45,74,0
5,70.25,68,1
13,45.55,52,1
28,19.9,64,0
72,71.45,26,0
61,103.9,37,0
1,45.05,23,1
71,108.05,30,1
52,84.1,40,1
2,20.65,60,1
24,93.15,77,1
43,75.35,39,0
2,46.05,27,1
41,99.8,78,1
14,87.25,49,1
64,68.3,57,0
72,19.4,38,0
1,68.65,62,1
43,89.55,74,1
53,95.85,69,0
17,55.85,50,1
20,85.8,67,1
61,89.65,52,0
4,89.2,74,1
1,80.5,24,1
1,79.25,49,1
2,80.6,54,1
45,89.3,41,1
40,84.85,64,1
34,105.1,38,0
1,20.25,64,1
35,40.9,36,0
35,19.9,63,0
35,70.3,61,1
63,107.5,50,1
72,117.8,31,1
25,34.0,19,1
40,80.8,46,0
21,55.95,30,1
70,19.55,73,0
72,84.05,24,0
11,20.6,21,0
37,90.6,42,0
39,55.9,50,1
4,76.65,36,1
10,19.7,38,0
30,68.95,37,0
8,20.2,26,0
46,94.65,44,0
8,94.2,22,1
56,98.25,21,1
31,65.25,29,1
13,59.9,76,0
2,24.4,53,1
18,64.8,45,0
35,33.45,59,0
1,50.6,47,1
4,80.8,28,1
5,85.3,30,1
17,80.85,41,1
1,20.2,48,1
24,78.85,71,1
12,45.4,49,1
4,80.35,60,1
24,85.95,60,0
2,45.15,56,1
10,100.6,41,1
36,91.95,74,0
22,59.05,33,0
17,94.4,57,1
1,74.45,75,1
11,94.0,64,1
2,73.55,27,1
4,74.8,51,1
6,89.5,58,1
67,86.15,41,0
40,99.2,74,1
19,24.9,20,0
70,40.05,25,0
32,104.9,76,1
55,98.8,73,1
55,103.65,54,0
2,94.2,34,1
62,96.75,58,1
7,20.65,61,0
29,75.3,26,0
29,33.75,47,0
12,81.7,44,1
33,86.15,63,1
64,25.0,44,0
1,89.9,21,1
8,74.85,64,0
9,44.95,57,1
48,34.7,31,1
10,94.85,34,1
1,85.8,30,1
3,95.2,21,1
9,24.6,24,0
41,102.6,36,1
14,69.2,52,0
14,19.9,27,0
1,55.4,37,1
1,69.95,29,1
68,55.9,49,0
1,88.8,77,1
60,99.65,38,0
7,73.75,78,1
23,20.4,48,0
5,75.9,30,1
14,19.65,73,0
1,43.95,55,1
66,103.1,33,0
53,25.55,37,0
61,111.6,44,1
1,35.45,64,1
67,87.4,34,1
12,78.1,32,1
27,104.3,73,1
61,100.7,60,0
65,107.65,25,0
19,50.1,51,0
2,49.05,42,1
2,86.85,73,1
4,19.95,30,0
60,90.95,21,1
8,85.2,32,1
54,24.05,19,0
22,20.3,24,0
57,44.85,70,1
6,85.35,61,1
56,94.45,21,1
13,88.35,52,1
6,49.15,59,1
69,24.95,23,0
1,20.1,33,1
2,96.0,57,1
53,46.3,37,0
60,65.85,35,0
55,-2.0,75,0
5,70.0,39,1
1,45.85,47,1
61,86.45,57,0
38,101.15,71,0
9,55.3,51,0
71,19.7,22,0
1,71.35,43,1
23,19.65,34,0
1,100.25,45,1
70,51.05,19,0
66,105.65,44,0
1,91.7,20,1
14,19.95,49,0
46,20.25,42,0
49,100.6,42,1
68,110.0,26,1
50,84.4,59,1
19,105.0,67,0
65,-3.0,47,0
3,84.75,47,1
67,111.25,39,0
8,75.25,51,0
26,59.45,47,0
57,95.25,74,1
39,75.25,64,1
17,70.4,35,1
61,93.7,19,0
8,94.45,66,1
24,51.1,45,0
26,83.95,36,1
65,91.55,52,0
34,79.95,40,0
71,99.0,43,0
18,82.0,36,1
8,74.5,51,1
3,31.0,43,1
1,70.25,27,1
10,85.55,77,1
62,43.6,38,0
4,78.45,28,1
52,100.3,31,0
19,88.2,74,1
18,45.65,58,0
6,44.7,69,0
72,113.8,75,0
72,116.6,26,0
71,106.0,60,1
71,25.45,33,0
39,95.65,79,1
1,75.05,23,1
34,19.6,53,0
32,83.7,56,0
6,25.4,58,0
37,28.6,31,1
11,111.4,75,0
1,76.4,76,1
23,34.6,27,0
29,66.1,32,0
68,85.5,27,0
29,79.3,69,0
59,85.55,24,1
15,76.0,29,1
50,93.5,64,0
5,45.7,79,1
14,78.1,50,0
20,19.5,23,0
35,95.45,70,1
6,95.75,69,1
14,95.6,65,0
71,104.65,23,0
28,106.1,58,1
64,96.9,31,0
3,50.6,56,1
34,109.8,23,1
1,49.95,51,1
33,110.45,70,1
12,94.55,38,0
72,97.25,75,0
36,54.1,65,0
4,20.2,29,0
8,49.55,24,0
18,48.35,70,1
29,80.1,60,0
28,92.35,47,1
67,94.35,41,1
58,19.85,48,0
16,86.6,76,1
13,89.4,42,1
4,70.9,42,1
44,24.85,44,0
47,104.1,61,0
5,94.85,44,1
8,105.5,79,1
