Tenure in Months,Monthly Charge,Age,Customer Status
25,100.25,59,1
70,115.15,45,0
43,60.0,64,0
12,91.3,79,1
72,89.55,74,0
21,69.1,76,1
51,60.5,40,0
55,57.55,28,1
22,63.55,73,0
71,109.0,22,0
60,103.75,57,0
2,65.7,21,1
65,105.25,78,1
5,71.45,78,0
1,71.0,57,1
28,54.35,27,0
14,19.5,58,0
58,108.85,78,1
15,51.55,47,1
19,89.1,30,0
60,89.55,34,0
1,69.35,64,1
6,99.95,26,1
43,60.4,46,0
58,45.3,66,1
35,19.7,62,0
25,20.95,47,0
19,94.95,78,0
49,74.6,39,0
68,20.0,66,0
24,24.2,58,0
26,92.4,34,0
21,45.65,60,0
67,74.0,49,0
19,34.95,23,0
40,25.25,43,0
16,100.0,61,1
41,80.25,36,0
21,24.7,53,0
36,19.55,47,0
70,74.1,46,0
8,74.5,66,1
56,60.25,32,0
1,70.05,38,1
4,70.5,40,0
15,96.3,76,1
1,19.95,52,1
71,111.3,55,0
71,90.55,43,0
72,38.5,25,0
70,65.3,57,1
72,109.55,67,0
3,75.85,61,1
34,26.1,54,0
37,64.75,26,1
32,75.5,21,0
26,19.3,65,0
22,69.5,22,1
17,19.4,58,0
7,20.65,55,0
32,85.3,76,1
47,67.45,78,0
3,29.6,46,1
15,86.2,21,1
55,85.1,51,0
72,83.6,36,0
7,19.45,29,0
47,26.9,20,0
33,83.35,51,1
1,74.4,68,1
20,20.0,21,0
47,74.05,56,0
29,99.05,65,1
12,45.9,39,0
53,105.25,40,0
42,49.55,40,0
58,94.7,30,0
65,109.15,60,1
46,84.8,28,0
45,18.85,47,0
72,110.3,44,0
10,44.85,34,1
1,55.0,25,1
8,95.65,53,1
10,98.9,37,0
35,99.05,78,0
35,85.95,27,1
70,104.45,73,0
10,54.25,41,0
31,50.05,35,0
13,106.9,68,1
64,109.2,53,0
52,19.35,44,0
14,100.2,71,1
57,49.9,44,0
9,71.0,49,1
1,75.3,28,1
8,64.1,19,0
17,80.85,25,0
15,38.8,49,0
62,20.05,19,0
13,43.8,34,0
31,89.9,54,1
71,19.9,34,0
61,115.1,58,0
7,95.6,74,1
13,97.0,60,0
56,19.7,42,0
22,94.7,52,1
32,36.25,48,0
3,55.35,19,1
1,54.9,19,1
15,101.25,43,1
2,53.85,37,1
5,51.0,20,1
1,46.2,47,1
71,115.15,57,0
4,80.6,46,1
36,84.1,71,1
2,30.4,73,1
14,71.0,27,1
10,24.4,27,0
6,50.8,51,1
58,104.65,34,1
16,63.05,56,0
29,31.2,30,0
52,106.5,70,0
50,82.5,59,0
16,74.45,70,0
2,90.0,51,1
45,20.4,49,1
1,74.25,28,1
32,84.05,44,1
26,-2.0,51,0
42,74.15,76,1
49,84.5,49,0
37,78.9,43,0
1,69.1,62,1
60,101.15,27,0
51,83.85,20,0
2,70.95,45,1
27,19.6,62,0
1,88.35,23,1
6,82.85,34,1
15,75.35,22,0
61,85.55,78,0
22,51.1,29,0
28,91.25,50,0
11,96.2,60,1
24,84.85,57,0
21,82.35,25,1
1,74.6,63,1
2,67.75,58,1
1,35.05,62,1
13,20.45,59,0
15,88.15,21,1
2,44.15,78,1
16,71.8,78,1
65,100.75,66,0
32,106.35,77,1
65,108.8,69,0
66,104.05,23,1
46,19.2,49,0
1,74.7,23,1
68,109.05,55,0
57,100.6,73,1
67,24.85,19,0
33,20.1,61,0
64,20.2,23,0
1,36.45,79,1
58,19.55,52,0
71,93.2,38,0
72,106.85,69,0
56,100.65,68,1
13,95.05,73,1
63,75.55,58,0
1,23.45,55,1
7,69.95,49,1
14,-8.0,52,0
1,89.15,44,1
1,20.55,25,1
50,103.85,55,1
4,33.65,47,1
55,94.75,59,0
7,99.8,61,1
31,79.85,58,1
3,34.25,26,1
12,24.95,61,0
72,109.5,38,0
7,85.2,23,1
71,24.85,69,0
66,105.0,28,1
35,85.3,28,1
16,80.75,59,0
23,74.95,48,1
4,45.65,47,1
12,53.65,27,1
59,64.65,60,0
19,19.65,25,0
2,70.75,64,1
54,110.35,21,1
1,69.1,70,1
14,55.5,54,0
7,95.0,32,1
1,59.85,50,1
17,70.0,51,1
72,109.25,57,1
37,40.55,26,0
1,59.2,40,1
72,114.05,56,0
68,39.9,19,0
67,53.4,61,0
24,24.7,42,0
10,73.55,23,0
45,97.05,71,0
1,19.9,45,1
12,101.35,66,1
63,75.7,35,0
4,80.1,27,0
6,83.9,40,1
68,41.95,79,0
26,49.5,53,0
50,71.05,69,1
1,45.1,27,1
41,50.05,62,0
53,94.25,48,1
4,105.65,29,1
50,39.7,48,0
23,99.25,33,1
26,74.95,48,1
12,44.55,33,1
47,95.2,21,0
1,50.9,50,1
9,54.8,43,0
24,49.55,35,1
20,-5.0,45,0
28,80.6,62,0
70,65.2,50,0
28,106.15,75,1
72,116.45,25,0
72,92.3,42,0
67,24.9,54,0
30,94.1,63,1
8,19.7,28,0
36,20.35,37,0
42,50.25,30,1
26,19.4,29,0
1,91.3,68,1
37,92.5,74,1
6,109.9,55,1
8,69.7,80,1
60,49.75,39,0
56,96.85,69,0
25,99.5,35,1
27,50.35,59,0
19,78.25,59,1
7,74.65,33,1
6,19.85,54,0
29,98.5,75,1
2,30.9,53,1
36,96.5,77,1
64,99.0,35,0
7,78.55,51,0
52,103.05,33,0
11,20.95,33,0
33,70.4,43,0
1,54.75,44,1
51,93.5,27,0
31,104.2,51,1
72,-7.0,59,0
11,100.75,45,1
8,71.15,53,1
19,44.85,27,1
9,20.25,37,1
34,60.8,34,0
3,80.4,74,1
55,104.15,21,1
21,94.25,79,1
34,103.8,35,0
1,74.4,67,1
24,53.6,56,0
39,80.0,42,1
29,51.6,77,0
1,69.55,54,1
67,59.55,19,0
10,89.5,55,1
56,68.75,25,0
69,35.75,37,0
9,74.25,23,1
71,106.8,67,0
9,88.05,49,0
22,94.65,52,1
47,-5.0,73,0
67,104.0,28,0
52,39.9,47,0
28,60.9,32,0
51,44.45,31,0
31,35.4,41,1
3,86.85,73,1
5,19.85,57,1
52,85.35,46,1
5,81.3,33,1
8,92.1,71,1
13,89.05,76,1
8,-5.0,74,1
51,19.1,34,0
35,25.6,21,0
46,24.45,55,0
41,66.5,49,1
54,109.55,35,0
10,19.8,46,0
31,78.45,46,1
3,88.3,68,1
36,70.7,55,0
46,95.25,73,1
57,103.05,36,0
57,70.35,32,0
10,55.2,21,1
5,94.45,43,1
72,24.75,27,0
1,45.1,80,1
69,24.45,23,0
2,20.35,62,1
1,55.8,66,1
2,44.95,80,1
4,79.15,41,1
1,20.25,41,1
4,90.05,42,1
6,74.9,49,1
5,99.15,45,1
1,45.85,58,1
61,82.15,66,0
30,79.65,77,1
17,85.35,80,1
6,56.25,44,1
68,108.45,24,1
1,20.5,47,1
1,74.35,56,1
8,80.1,34,1
24,81.0,51,0
9,74.75,55,1
19,79.85,67,1
7,86.25,63,1
40,101.3,54,1
3,79.65,33,1
28,39.1,76,0
72,82.3,56,0
65,79.4,42,0
56,19.55,57,0
16,75.4,25,0
50,75.15,74,0
53,93.9,27,1
26,29.8,24,0
16,19.35,63,0
12,98.9,64,1
17,50.3,35,0
1,50.75,61,1
68,75.8,63,1
13,20.0,54,0
70,105.55,72,0
7,34.5,61,1
5,55.8,42,0
19,90.6,68,1
39,59.3,62,0
72,64.95,70,0
21,54.6,57,0
2,70.65,67,1
48,69.7,19,0
7,74.35,48,0
1,54.35,30,1
1,55.0,47,1
56,88.9,49,0
67,79.7,49,1
41,114.5,23,1
1,44.4,29,1
50,100.2,36,0
10,25.75,39,0
6,85.15,73,1
14,90.9,64,1
72,114.05,52,0
47,65.0,38,0
16,94.45,68,1
44,54.9,58,0
3,20.55,41,1
23,104.05,49,1
44,106.05,25,0
3,63.6,57,1
54,89.8,55,0
25,74.3,48,1
27,78.05,72,1
1,74.5,33,1
12,79.2,73,0
69,99.35,55,0
21,104.4,22,1
2,93.85,70,1
3,36.85,44,1
4,25.45,20,0
7,75.7,47,0
2,44.65,46,1
46,101.0,80,1
5,85.75,38,1
13,74.3,73,1
71,24.75,55,0
61,105.55,44,1
60,74.35,50,0
15,19.5,35,0
7,43.9,41,0
30,44.5,61,0
2,19.85,40,1
5,48.65,57,0
42,84.3,58,1
36,104.8,52,0
3,55.3,45,1
52,105.05,20,1
13,20.4,56,0
38,19.6,60,0
16,20.25,24,1
35,72.25,28,1
18,57.65,25,0
23,59.7,33,0
1,69.7,64,1
46,69.1,65,0
11,74.95,41,1
6,74.4,75,1
1,69.8,50,1
38,57.15,67,1
2,70.0,31,1
16,84.75,76,1
18,88.85,23,0
42,80.45,30,0
59,101.1,21,1
54,105.85,58,0
8,76.15,32,0
25,88.4,72,0
2,80.2,51,1
42,19.05,31,0
58,25.15,56,0
46,24.95,39,0
7,19.25,53,1
10,80.05,60,1
16,72.65,35,1
5,85.2,26,1
1,69.65,52,1
70,102.95,69,1
62,101.35,30,0
49,90.05,75,1
17,91.85,30,1
59,68.7,62,0
47,107.35,43,1
5,96.55,40,0
11,44.05,41,1
9,43.75,48,0
10,80.25,40,1
12,19.35,44,0
22,55.15,22,1
52,68.75,45,0
43,56.15,57,1
3,75.8,63,1
45,24.7,79,0
4,-1.0,25,1
3,79.1,60,1
6,105.3,23,1
1,19.6,24,1
3,-4.0,46,1
56,24.9,57,1
24,101.25,65,1
25,98.5,78,1
1,69.85,51,1
25,90.4,63,1
27,19.9,36,0
20,81.45,74,0
56,104.75,68,1
1,81.1,53,1
33,88.95,59,0
8,30.45,55,1
7,93.85,60,1
51,78.65,35,0
57,39.3,23,1
35,85.15,37,1
2,70.4,47,1
15,79.4,78,1
22,19.95,37,0
54,61.0,20,0
6,80.5,64,1
13,55.95,60,1
55,19.5,43,0
7,81.25,38,0
53,73.9,35,0
16,73.85,32,1
64,97.0,69,0
18,-5.0,28,0
70,74.8,34,0
40,96.35,51,0
21,102.8,52,1
19,95.15,64,1
18,87.9,32,0
2,62.05,44,1
1,19.3,61,1
2,45.0,44,1
63,79.85,36,0
12,67.25,54,0
54,46.2,51,0
1,52.2,41,1
11,55.6,73,0
44,70.95,19,0
62,107.6,54,0
17,45.05,68,1
42,95.55,66,0
21,79.2,49,0
8,19.95,26,0
18,57.45,53,1
2,88.55,68,1
51,19.6,66,0
55,54.55,30,1
31,55.25,60,1
1,70.1,58,1
21,19.6,43,0
22,69.25,19,1
11,84.8,78,1
72,25.85,36,0
34,25.6,57,0
56,100.3,50,1
20,20.0,21,0
2,79.6,80,1
45,99.7,33,0
20,107.05,68,0
29,20.0,30,0
50,79.6,39,0
6,19.65,52,0
44,84.8,54,1
72,-10.0,35,0
1,24.75,56,1
36,60.7,59,0
7,20.25,31,0
26,98.35,55,1
72,72.1,39,0
63,79.8,51,0
60,95.4,59,0
1,20.5,22,1
1,50.1,47,1
4,84.6,68,1
72,75.4,43,0
59,80.1,34,0
1,70.4,40,1
1,19.45,54,1
4,70.4,19,1
9,65.0,20,1
13,19.45,42,0
12,30.25,48,0
63,110.1,46,0
61,24.4,20,0
46,59.9,80,1
1,20.2,45,1
47,110.85,42,1
59,99.5,33,1
5,81.0,68,1
1,60.0,64,1
7,20.25,22,0
48,103.25,24,1
1,19.9,59,1
11,29.6,32,0
8,19.45,28,0
38,99.55,75,1
1,68.95,64,1
4,79.9,27,1
51,20.65,25,0
35,62.15,51,0
30,89.9,62,0
4,25.15,55,0
10,19.3,25,0
2,44.7,72,1
23,-7.0,51,1
50,103.4,38,0
10,81.0,46,1
30,100.2,21,1
29,80.15,29,1
20,79.15,69,1
72,20.1,25,0
72,103.75,38,0
13,84.45,60,1
8,100.6,75,1
25,84.8,64,1
35,72.1,23,0
40,74.8,50,0
1,86.05,66,1
46,96.05,57,1
72,112.4,80,0
29,94.65,43,1
65,103.15,65,0
65,100.15,35,0
56,104.75,67,0
1,86.0,65,1
37,76.5,80,1
1,44.9,30,1
56,73.25,80,0
5,89.15,33,0
70,104.0,25,1
1,44.1,31,1
1,69.65,70,1
71,47.6,44,0
56,64.65,22,0
24,90.35,64,1
1,20.0,30,1
55,75.75,41,0
42,20.7,59,0
22,25.25,30,0
32,69.75,37,1
63,71.5,46,0
1,19.8,40,1
50,19.35,29,0
11,19.95,79,1
35,-9.0,38,0
1,20.15,42,1
29,98.65,76,1
5,19.35,53,1
11,41.6,39,1
54,70.7,49,0
72,109.7,76,0
9,79.35,30,1
1,94.6,56,1
31,86.55,44,1
56,104.55,80,1
3,53.4,23,1
5,84.5,64,1
3,69.65,53,1
15,58.6,29,1
1,53.55,61,1
60,37.7,61,0
64,66.15,40,0
11,19.25,35,1
36,74.9,80,0
4,88.95,30,1
4,85.95,48,1
7,-4.0,61,1
35,101.4,68,1
2,44.6,41,1
27,94.55,48,1
30,74.65,52,0
56,24.15,54,0
1,75.35,80,1
68,95.9,66,0
57,20.75,37,0
14,76.1,24,0
30,100.45,27,0
15,20.35,44,0
50,109.65,63,1
13,19.95,59,0
47,96.1,23,0
10,29.5,46,1
57,19.4,45,0
43,84.85,74,0
54,82.45,70,1
9,75.85,39,0
20,18.9,46,0
7,69.35,39,1
6,44.75,35,1
51,110.05,23,0
2,-2.0,21,1
1,20.05,69,1
56,106.8,49,0
51,25.5,59,0
1,-9.0,68,1
1,20.6,56,1
26,75.0,24,0
3,105.35,50,1
1,75.35,41,1
43,106.0,47,0
39,50.75,35,1
30,83.55,19,0
25,53.65,63,0
13,19.75,56,0
67,54.2,42,0
66,108.45,77,0
60,50.8,58,1
59,24.45,64,0
51,83.4,55,0
1,45.3,37,1
10,64.9,54,0
18,39.05,46,1
58,109.45,39,1
59,100.05,32,0
47,19.65,21,0
3,91.5,33,1
43,110.75,77,1
1,45.95,49,1
11,73.5,30,1
72,67.2,20,0
69,25.6,55,0
71,89.9,22,0
48,105.1,22,0
36,95.0,50,0
63,40.6,48,0
56,65.2,62,0
43,86.45,64,0
25,105.5,27,0
25,105.95,73,1
49,90.4,62,0
1,69.8,34,1
72,114.5,75,0
33,103.7,22,1
10,98.55,51,1
59,109.15,52,0
10,29.65,76,1
1,19.95,62,1
38,94.75,68,0
16,75.1,44,0
21,104.55,48,0
31,98.05,27,0
68,110.2,51,0
34,85.35,26,0
9,58.5,30,1
2,75.8,37,1
17,44.6,27,0
4,25.2,73,1
1,90.85,64,1
49,35.8,19,0
27,19.85,27,0
72,108.95,28,0
67,105.4,37,0
9,66.25,27,1
4,46.0,48,1
48,75.15,64,0
47,20.55,34,0
1,95.1,71,1
22,40.05,80,1
10,95.1,32,0
9,69.5,24,0
1,69.5,75,1
54,74.0,73,0
1,85.7,68,1
63,104.75,52,0
53,96.75,72,0
1,75.7,39,1
12,25.25,39,0
57,90.65,66,0
35,89.7,50,0
33,34.05,64,0
62,24.8,60,0
25,74.3,53,0
39,30.1,56,1
19,39.65,50,1
17,55.5,64,0
53,80.6,56,0
2,55.05,47,1
72,90.8,22,0
31,84.85,68,0
33,104.4,46,1
4,19.0,31,0
71,46.35,74,0
13,80.85,40,1
8,86.55,47,1
8,29.4,65,1
57,112.95,38,1
1,74.7,69,1
45,20.35,24,0
33,94.5,72,1
64,54.6,48,0
4,24.45,31,1
62,97.95,65,0
42,73.15,54,0
68,113.15,48,1
41,94.3,19,0
1,80.85,64,1
2,69.6,74,1
2,85.55,78,1
36,90.85,69,1
72,104.8,58,0
71,105.1,79,1
11,78.5,71,0
11,104.05,73,1
51,59.3,51,1
29,87.8,32,0
4,49.4,44,1
72,24.55,41,0
10,100.25,62,1
3,101.55,57,1
32,80.35,31,1
35,95.5,27,0
48,55.8,20,0
32,85.95,78,1
53,48.7,40,0
7,62.8,42,0
46,19.95,51,0
2,87.15,50,1
58,75.8,28,0
72,73.45,79,0
72,77.35,73,0
60,94.1,44,0
34,44.85,35,0
37,61.45,45,0
62,105.5,22,0
52,80.2,43,0
8,20.25,29,0
12,89.55,60,0
2,94.95,61,1
58,24.45,42,0
1,20.2,38,1
9,84.4,67,1
71,105.15,37,0
72,65.65,32,0
13,79.8,61,1
51,94.65,44,1
20,88.7,20,1
21,20.75,38,0
36,85.25,65,1
1,70.6,48,1
71,91.05,26,0
1,35.75,47,1
5,93.9,44,1
34,106.35,51,1
38,20.05,22,0
22,95.1,39,0
45,50.9,45,0
8,84.0,75,1
52,104.2,69,1
66,-8.0,72,0
32,80.3,71,1
12,45.05,50,0
32,76.3,54,0
1,79.6,40,1
37,98.8,27,1
5,74.65,58,0
4,99.8,65,1
30,77.9,65,0
1,101.45,32,1
25,89.15,36,1
32,54.2,42,0
19,59.8,20,0
69,108.4,69,1
3,91.85,53,1
11,79.5,61,1
58,94.3,49,0
22,49.8,64,0
62,102.0,63,1
7,81.1,35,1
27,53.45,53,0
19,75.9,49,0
19,103.3,34,1
56,24.45,64,0
69,80.65,48,0
65,74.8,56,1
46,19.6,59,0
61,106.0,52,1
3,25.3,80,1
24,99.3,63,1
4,60.4,28,1
2,24.35,79,1
2,66.4,73,1
2,55.1,19,1
1,80.25,34,1
20,19.7,62,0
66,49.4,34,0
34,87.45,39,1
47,66.05,49,0
69,103.95,42,1
17,20.15,35,0
1,19.25,35,1
54,100.1,38,1
1,19.9,46,1
12,94.2,53,1
33,20.15,51,0
21,103.9,57,1
12,84.5,28,1
25,85.9,26,0
11,70.5,38,0
49,30.2,22,0
49,99.05,54,1
55,77.75,38,1
20,19.25,49,0
1,69.75,69,1
1,69.85,70,1
1,45.3,49,1
66,104.9,67,0
10,24.8,61,0
2,79.2,78,1
1,75.3,80,1
16,96.15,76,1
3,94.6,70,1
8,65.45,36,0
71,105.7,52,0
9,85.35,63,1
28,101.3,67,1
3,75.15,33,1
22,84.3,25,1
34,56.95,46,0
46,89.15,21,0
15,19.75,54,1
1,70.0,41,1
22,100.75,51,1
20,24.45,44,1
1,85.45,48,1
72,25.45,39,0
7,69.85,61,0
10,78.15,23,0
20,94.1,77,1
20,19.4,30,1
4,19.95,47,0
1,20.95,19,1
9,19.5,43,0
20,89.1,50,0
21,84.1,46,0
47,106.35,51,0
30,40.35,23,0
53,19.85,60,0
2,89.5,69,1
2,95.1,76,1
27,36.5,68,1
12,95.5,61,1
4,24.25,48,1
10,75.75,37,0
49,96.2,66,1
42,48.15,48,0
72,98.35,65,0
24,89.55,21,0
5,39.5,55,1
70,75.65,72,0
1,60.15,19,1
2,40.4,34,1
68,82.45,21,0
5,83.6,54,1
17,86.75,41,0
4,20.35,35,1
15,20.0,59,1
1,45.4,32,1
31,90.7,75,0
41,99.65,29,0
48,70.1,56,0
1,-5.0,31,1
9,94.4,41,1
71,24.65,79,0
26,35.4,24,0
4,19.6,34,0
9,54.55,79,1
53,69.7,61,0
58,93.4,37,1
10,80.85,40,0
2,79.85,46,1
8,19.85,44,0
4,80.85,22,1
52,104.45,79,0
10,92.5,72,1
69,106.5,58,1
46,81.0,37,0
11,64.9,55,0
3,35.2,20,1
72,84.45,35,0
29,68.85,45,1
1,-8.0,52,1
50,20.35,40,0
9,59.5,33,0
55,21.0,53,0
69,59.1,47,0
1,90.6,41,1
63,19.5,48,0
39,19.75,40,0
2,70.35,74,1
33,83.85,78,1
37,100.3,26,0
7,51.3,73,0
48,64.4,39,0
19,100.95,29,1
29,60.2,28,0
2,69.8,56,1
1,75.45,55,1
3,76.95,44,1
16,74.55,21,0
5,88.9,37,1
18,50.0,30,0
33,58.45,24,0
71,24.45,24,0
22,20.3,42,0
27,20.05,26,0
1,31.35,41,1
6,84.2,76,1
1,69.9,51,1
6,55.9,55,1
5,34.25,52,0
19,99.95,54,1
72,25.1,43,0
1,69.4,62,1
50,95.05,67,1
13,84.6,27,1
72,19.75,56,0
3,50.15,23,1
67,105.6,74,0
13,75.0,25,1
31,94.5,56,0
45,54.15,60,1
15,74.2,74,1
1,56.25,49,1
18,85.45,80,1
70,79.15,40,0
37,19.35,20,0
32,20.55,61,0
1,79.35,32,1
19,89.65,20,1
10,104.4,37,1
41,20.25,39,0
7,70.1,75,1
23,75.3,51,0
19,56.1,54,0
1,70.6,30,1
19,83.65,59,1
53,54.9,62,0
71,109.6,53,0
15,105.35,19,0
4,61.45,44,1
26,73.05,35,0
8,83.55,32,1
33,66.4,19,0
6,20.95,40,0
18,94.7,53,1
5,74.35,72,1
21,104.35,75,0
32,96.15,67,1
1,79.05,24,1
64,108.5,27,0
47,24.55,28,0
72,89.7,32,0
46,19.95,40,0
10,70.3,36,1
43,92.55,59,0
44,96.1,19,1
40,97.1,58,1
37,95.15,40,0
65,26.5,42,0
72,105.0,78,0
32,74.75,45,0
39,19.35,42,0
16,86.25,40,0
12,-5.0,42,0
66,61.15,25,0
58,25.3,39,0
12,56.65,42,1
23,104.45,80,0
40,98.15,68,0
72,89.05,39,0
61,94.35,55,0
26,80.5,34,1
9,80.8,39,1
41,20.15,46,0
26,89.15,68,1
54,55.45,72,0
61,81.0,27,0
5,83.15,68,1
34,20.65,39,0
20,70.45,47,1
32,74.4,70,1
69,61.45,27,0
3,100.95,32,1
37,101.1,73,1
1,25.1,35,1
30,90.25,33,1
72,54.2,51,1
54,97.2,39,0
24,54.15,25,1
5,69.7,56,1
41,19.75,21,0
69,105.4,73,0
69,105.35,51,0
5,84.85,66,1
70,19.85,30,0
65,-3.0,50,0
22,20.25,50,0
38,95.1,47,0
40,81.2,55,0
1,-7.0,53,1
16,88.45,44,1
68,54.45,45,0
66,102.45,41,1
17,92.55,42,1
6,94.5,53,1
4,97.95,21,1
3,79.25,33,1
46,38.25,40,0
62,79.95,69,0
1,19.1,35,1
24,35.75,44,0
16,84.95,34,1
41,53.95,65,0
1,45.65,43,1
56,44.85,58,0
35,59.6,48,0
62,23.4,43,0
7,53.65,46,0
6,94.05,39,0
64,20.05,79,0
1,71.55,42,1
1,19.65,43,1
1,44.35,27,1
10,45.8,34,0
9,24.1,53,1
3,79.9,77,1
71,53.95,46,0
2,69.75,46,1
72,64.7,33,0
3,70.3,69,1
35,20.5,42,0
43,66.25,42,0
49,84.5,55,1
67,94.65,79,0
47,83.35,26,1
12,78.3,34,1
43,108.15,67,1
5,24.3,35,0
3,80.1,30,1
25,58.6,27,1
9,99.45,67,1
22,55.15,32,1
15,99.7,53,0
57,19.6,58,0
6,59.45,58,0
2,73.25,37,1
69,99.5,50,0
15,69.0,40,1
6,79.7,69,0
1,85.0,71,1
4,20.5,39,0
22,95.9,42,0
5,28.45,77,1
18,35.0,27,1
23,95.1,67,0
69,95.2,61,0
70,80.6,37,0
71,71.1,63,0
4,19.7,49,0
26,54.75,27,0
42,73.9,22,1
65,89.85,47,0
60,94.4,33,1
2,-5.0,62,1
22,90.5,71,1
20,25.55,47,0
54,69.95,21,0
23,79.1,22,0
33,73.9,33,1
72,109.65,20,0
70,110.5,41,0
22,79.35,48,1
59,93.35,45,0
31,79.45,37,1
3,49.9,63,1
69,104.05,50,1
29,78.9,37,1
53,54.45,73,1
1,29.95,54,1
20,90.2,63,1
59,19.35,51,1
8,100.85,56,1
11,95.15,67,1
11,80.5,42,1
20,85.25,49,1
10,72.15,49,1
3,40.15,19,1
71,86.4,53,0
31,81.15,26,0
20,24.9,41,0
44,88.4,68,1
10,74.15,28,1
72,55.45,30,0
35,86.45,32,1
54,104.1,62,0
1,95.6,29,1
1,74.9,26,1
31,73.55,72,0
24,96.0,44,1
1,24.8,60,1
38,68.15,61,0
61,25.3,52,0
16,64.25,38,0
1,78.8,55,1
46,65.65,23,0
4,77.85,48,1
60,106.15,48,0
10,70.1,42,1
49,107.95,38,1
1,73.6,21,1
34,97.65,35,1
48,107.4,20,1
43,55.55,70,1
6,79.05,51,1
4,55.3,33,0
25,102.8,75,1
9,45.15,38,1
17,89.4,54,1
1,68.5,39,1
51,83.25,33,0
3,74.75,39,1
66,105.95,68,1
24,78.6,63,0
19,69.6,54,0
5,85.4,51,1
65,92.7,71,0
7,79.7,31,1
45,87.25,29,1
30,64.5,52,0
31,20.95,23,0
1,69.35,57,1
1,80.8,34,1
35,54.95,20,0
71,100.5,61,0
67,106.6,19,0
47,99.35,61,1
16,84.9,22,0
2,86.0,61,1
23,54.25,47,0
12,20.5,57,0
15,76.5,63,0
32,70.5,47,0
25,19.9,41,0
29,100.55,33,0
67,90.6,31,1
68,24.55,20,0
6,20.65,33,0
8,80.0,24,0
3,105.0,68,1
7,50.7,20,0
7,94.7,78,1
14,59.45,29,0
1,69.6,27,1
1,73.55,75,1
38,81.0,28,0
38,105.0,60,1
72,108.3,51,0
1,93.3,59,1
69,54.95,60,0
53,20.8,25,1
15,50.75,52,0
16,38.9,34,0
9,29.95,32,1
23,57.75,30,0
30,99.7,73,1
51,23.95,40,0
60,60.8,19,0
13,30.85,59,0
34,20.05,44,0
33,24.9,73,0
71,76.05,38,0
71,49.35,44,1
26,98.65,26,0
49,97.95,61,0
33,20.6,63,0
1,-7.0,69,1
45,95.2,51,0
46,74.8,19,0
32,93.4,22,0
16,49.95,36,1
50,88.05,79,1
72,20.35,24,0
1,44.45,63,1
25,88.95,71,1
50,43.05,40,0
2,19.3,56,1
34,73.95,63,1
